PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,REAGENT_ID,ENTREZ_GENE_ID,NCBI_GENE_SYMBOL,PLATE,WELL,HMBEC_ AVERAGE_AREA,HMBEC_ AVERAGE_INTENSITY,HMBEC_ AVERAGE_TOTAL_INTENSITY,HMBEC_ AVERAGE_INTENSITY_STDDEV,HMBEC_ AVERAGE_PERIMETER,HMBEC_ AVERAGE_SHAPE_FACTOR,HMBEC_ AVERAGE_ELLIPTICAL_FORM_FACTOR,HMBEC_ AVERAGE_LENGTH,HMBEC_ AVERAGE_BREADTH,HMBEC_ AVERAGE_TEXTURE_DIFFERENCE_MOMENT,HMBEC_ AVERAGE_TEXTURE_INVERSE_DIFFERENCE_MOMENT,HMBEC_ AVERAGE_NUMBER_CELLS_MEASURED,HDLEC_ AVERAGE_AREA,HDLEC_ AVERAGE_INTENSITY,HDLEC_ AVERAGE_TOTAL_INTENSITY,HDLEC_ AVERAGE_INTENSITY_STDDEV,HDLEC_ AVERAGE_PERIMETER,HDLEC_ AVERAGE_SHAPE_FACTOR,HDLEC_ AVERAGE_ELLIPTICAL_FORM_FACTOR,HDLEC_ AVERAGE_LENGTH,HDLEC_ AVERAGE_BREADTH,HDLEC_ AVERAGE_TEXTURE_DIFFERENCE_MOMENT,HDLEC_ AVERAGE_TEXTURE_INVERSE_DIFFERENCE_MOMENT,HDLEC_ AVERAGE_NUMBER_CELLS_MEASURED,HMBEC_ ZSCORE_AREA,HMBEC_ ZSCORE_INTENSITY,HMBEC_ ZSCORE_TOTAL_INTENSITY,HMBEC_ ZSCORE_INTENSITY_STDDEV,HMBEC_ ZSCORE_PERIMETER,HMBEC_ ZSCORE_SHAPE_FACTOR,HMBEC_ ZSCORE_ELLIPTICAL_FORM_FACTOR,HMBEC_ ZSCORE_LENGTH,HMBEC_ ZSCORE_BREADTH,HMBEC_ ZSCORE_TEXTURE_DIFFERENCE_MOMENT,HMBEC_ ZSCORE_TEXTURE_INVERSE_DIFFERENCE_MOMENT,HDLEC_ ZSCORE_AREA,HDLEC_ ZSCORE_INTENSITY,HDLEC_ ZSCORE_TOTAL_INTENSITY,HDLEC_ ZSCORE_INTENSITY_STDDEV,HDLEC_ ZSCORE_PERIMETER,HDLEC_ ZSCORE_SHAPE_FACTOR,HDLEC_ ZSCORE_ELLIPTICAL_FORM_FACTOR,HDLEC_ ZSCORE_LENGTH,HDLEC_ ZSCORE_BREADTH,HDLEC_ ZSCORE_TEXTURE_DIFFERENCE_MOMENT,HDLEC_ ZSCORE_TEXTURE_INVERSE_DIFFERENCE_MOMENT,HDLEC_MORPHOLOGY_CLUSTER
43,313053969,,Unspecified,,,,M-019847-03,9276,COPB2,2,H03,11193.1,1820.78,1.90774e+07,568.682,486.505,0.569914,1.59837,170.353,110.029,0.659324,0.838635,84,5914.14,1862.27,1.10046e+07,569.993,342.735,0.604252,1.47555,118.321,83.4649,0.856846,0.808012,201.25,0.81,1.06,1.59,1.6,1.13,-1.35,0.84,1.2,0.71,-1.01,0.96,-0.1,1.59,1.52,2.03,-0.06,-0.24,0.29,-0.04,-0.11,-0.42,0.66,2
44,313053970,,Unspecified,,,,M-011962-01,9546,APBA3,1,A05,8961.86,1962.82,1.69851e+07,582.251,416.688,0.610023,1.46633,142.591,101.957,0.599441,0.851668,144,5558.2,1752.57,9.97721e+06,465.488,333.242,0.605166,1.44008,114.065,81.8383,0.883466,0.798642,250.75,-0.57,1.55,0.92,1.79,-0.8,0.78,-0.87,-0.93,-0.33,-1.68,1.7,-0.7,1.16,0.87,0.63,-0.61,-0.17,-0.49,-0.74,-0.5,-0.08,0.12,2
45,313053971,,Unspecified,,,,M-004852-00,9573,GDF3,2,E11,9534.17,1739.64,1.52669e+07,674.095,429.396,0.622864,1.43328,146.899,105.328,0.556252,0.862912,81.25,5088.14,1904.63,9.24392e+06,626.835,316.435,0.603163,1.45525,109.258,78.041,0.756437,0.839804,179.75,-0.22,0.79,0.36,3.04,-0.45,1.45,-1.3,-0.6,0.1,-2.16,2.34,-1.5,1.75,0.41,2.78,-1.57,-0.31,-0.15,-1.54,-1.41,-1.72,2.5,2
46,313053972,,Unspecified,,,,M-010189-00,9645,MICAL2,1,F07,10357,1504.98,1.47954e+07,495.199,463.131,0.587158,1.51328,160.242,109.329,0.712447,0.828896,86.25,5526.62,1498.1,7.82765e+06,406.764,332.811,0.60744,1.43026,114.19,82.348,0.846503,0.804168,186.25,0.29,-0.01,0.21,0.6,0.48,-0.43,-0.26,0.42,0.62,-0.42,0.41,-0.75,0.17,-0.49,-0.15,-0.63,-0.02,-0.7,-0.72,-0.38,-0.55,0.44,2
47,313053982,,Unspecified,,,,M-009256-00,11313,LYPLA2,1,F04,6316.31,1803.23,1.06895e+07,480.863,351.639,0.607633,1.46266,121.248,85.8907,0.843121,0.813568,195.75,4655.24,1887.72,8.59596e+06,515.365,307.187,0.598605,1.45931,105.704,75.0444,0.869504,0.808514,238,-2.22,1,-1.11,0.4,-2.59,0.65,-0.92,-2.57,-2.39,1.03,-0.46,-2.23,1.68,0,1.3,-2.09,-0.61,-0.06,-2.13,-2.12,-0.26,0.69,2
48,313053985,,Unspecified,,,,M-006283-00,22953,P2RX2,2,G04,8266.18,1763.92,1.35956e+07,474.233,407.787,0.592969,1.58492,143.389,95.1544,0.741575,0.827535,134.5,5630.16,1417.43,8.07896e+06,452.976,331.945,0.614386,1.43373,113.884,81.8581,0.841961,0.816785,183.25,-1.01,0.87,-0.18,0.31,-1.04,-0.13,0.66,-0.87,-1.2,-0.1,0.33,-0.58,-0.15,-0.33,0.46,-0.68,0.44,-0.63,-0.77,-0.5,-0.61,1.17,2
49,313053999,,Unspecified,,,,M-006074-02,29761,USP25,2,C10,10810.9,1294.92,1.34702e+07,458.597,467.289,0.603458,1.53813,162.47,109.577,0.672082,0.838122,70.5,6094.8,1348.79,7.97142e+06,437.419,347.319,0.611051,1.45975,119.767,85.3217,0.822265,0.805767,150.75,0.58,-0.73,-0.22,0.1,0.6,0.43,0.06,0.59,0.65,-0.87,0.93,0.21,-0.41,-0.4,0.26,0.2,0.22,-0.05,0.2,0.33,-0.87,0.53,2
50,313054002,,Unspecified,,,,M-005604-00,53831,GPR84,2,E08,9691.17,2017.21,1.83613e+07,543.044,448.857,0.580869,1.61599,158.309,101.641,0.702535,0.823702,86.5,5798.45,1809.12,9.84288e+06,598.157,347.668,0.573819,1.57246,121.971,81.5341,0.802387,0.822211,141.25,-0.12,1.74,1.36,1.25,0.09,-0.77,1.06,0.27,-0.37,-0.53,0.12,-0.29,1.38,0.79,2.4,0.22,-2.26,2.42,0.57,-0.57,-1.12,1.49,2
51,313054004,,Unspecified,,,,M-020449-01,54544,CRCT1,1,C10,9327.23,1453.54,1.2143e+07,426.841,436.856,0.576389,1.60281,152.037,100.085,0.765766,0.817106,114.75,5392.66,1544.46,8.23912e+06,421.034,329.125,0.597933,1.51737,114.761,78.4703,0.884311,0.801861,225.25,-0.35,-0.19,-0.64,-0.33,-0.24,-1,0.89,-0.21,-0.57,0.17,-0.26,-0.98,0.35,-0.23,0.04,-0.84,-0.66,1.21,-0.63,-1.31,-0.06,0.31,2
52,313054021,,Unspecified,,,,M-016490-00,79368,FCRL2,2,H04,7434.76,2189.75,1.52797e+07,550.537,386.691,0.591292,1.54441,135.286,91.6054,0.719217,0.825858,137.75,5302.41,1907.1,9.70767e+06,565.68,325.124,0.602901,1.46725,112.179,79.5569,0.827598,0.818117,222,-1.52,2.32,0.37,1.35,-1.62,-0.21,0.14,-1.49,-1.66,-0.35,0.24,-1.14,1.76,0.7,1.97,-1.07,-0.33,0.11,-1.05,-1.05,-0.8,1.25,2
53,313054024,,Unspecified,,,,M-014900-01,84444,DOT1L,1,D03,9652.61,1443.43,1.38112e+07,438.598,439.888,0.604763,1.45795,151.091,107.059,0.730067,0.821448,132.5,11541.9,1430.19,1.44965e+07,445.282,464.918,0.598538,1.43566,152.534,106.468,0.777699,0.819605,153,-0.14,-0.22,-0.11,-0.17,-0.16,0.5,-0.98,-0.28,0.33,-0.23,-0.01,0.08,0.31,0.38,0.77,0.05,0.33,-0.57,-0.06,0.26,-0.91,1.3,2
54,313054027,,Unspecified,,,,M-008099-01,84957,RELT,1,H10,8359.01,1680.73,1.31486e+07,469.613,418.263,0.572693,1.6572,147.768,93.8844,0.712957,0.837271,115.75,5696.94,1893.66,1.07704e+07,490.6,339.303,0.597361,1.53539,118.668,80.3248,0.837985,0.815402,216,-0.95,0.59,-0.32,0.25,-0.75,-1.2,1.6,-0.53,-1.37,-0.42,0.89,-0.47,1.71,1.38,0.97,-0.26,-0.69,1.6,0.02,-0.86,-0.66,1.09,2
55,313054034,,Unspecified,,,,M-003981-04,127933,UHMK1,2,G10,7324.82,1669.87,1.15218e+07,474.875,378.23,0.609037,1.53146,132.28,89.4661,0.785566,0.823608,132.5,4991.63,1617.57,7.93977e+06,425.367,311.06,0.61134,1.45007,107.314,76.6476,0.87076,0.807153,237.5,-1.59,0.55,-0.84,0.32,-1.86,0.72,-0.03,-1.72,-1.93,0.39,0.11,-1.66,0.63,-0.42,0.09,-1.87,0.24,-0.27,-1.86,-1.74,-0.24,0.61,2
56,313054036,,Unspecified,,,,M-018941-02,144501,KRT80,2,F05,9427.33,1984.24,1.78104e+07,532.529,435.222,0.588101,1.54861,151.584,102.331,0.744859,0.8261,109.25,5845.97,2212.09,1.25626e+07,566.153,339.619,0.604616,1.50125,118.126,81.6659,0.771519,0.830602,179.25,-0.28,1.62,1.18,1.11,-0.29,-0.38,0.19,-0.24,-0.28,-0.06,0.25,-0.21,2.95,2.51,1.97,-0.24,-0.21,0.86,-0.07,-0.54,-1.52,1.97,2
57,313054037,,Unspecified,,,,M-022324-01,145873,MESP2,1,F06,9600.18,1516.41,1.37921e+07,513.285,437.396,0.607841,1.49795,150.757,104.439,0.718998,0.821859,114,6337.11,1362.87,8.54377e+06,471.325,358.674,0.594291,1.50944,124.1,86.0025,0.772034,0.822776,178.5,-0.18,0.02,-0.11,0.85,-0.23,0.66,-0.46,-0.3,-0.01,-0.35,0.01,0.52,-0.44,-0.3,0.42,0.84,-0.84,1.04,1,0.52,-1.32,1.29,2
58,313054038,,Unspecified,,,,M-015629-02,147199,SCGB1C1,2,A04,9171.38,2430.36,2.15293e+07,557.797,433.065,0.583786,1.56336,151.604,100.237,0.585884,0.859706,98.25,5545.56,2274.99,1.24786e+07,603.695,333.482,0.59737,1.51152,115.924,79.8484,0.770757,0.826422,176.5,-0.44,3.15,2.38,1.45,-0.34,-0.61,0.38,-0.24,-0.55,-1.83,2.16,-0.72,3.19,2.46,2.47,-0.59,-0.69,1.08,-0.43,-0.98,-1.53,1.73,2
59,313054048,,Unspecified,,,,M-007490-01,284129,SLC26A11,2,G06,8061.38,1551.34,1.19386e+07,442.138,409.543,0.575859,1.61195,144.165,93.613,0.762598,0.825493,131.5,5209.2,1535.98,8.07333e+06,438.161,325.942,0.58634,1.56884,114.353,76.0024,0.904584,0.805297,218.75,-1.13,0.14,-0.71,-0.13,-0.99,-1.03,1.01,-0.81,-1.4,0.14,0.22,-1.29,0.32,-0.33,0.27,-1.02,-1.43,2.34,-0.69,-1.9,0.2,0.51,2
60,313054050,,Unspecified,,,,M-031740-01,387601,SLC22A25,2,G05,10387.9,1185.37,1.2002e+07,404.612,448.316,0.623621,1.42746,153.725,109.98,0.663151,0.832625,81,5763.78,1324.71,7.54595e+06,400.541,337.32,0.604833,1.46759,116.226,82.8895,0.84867,0.808341,198,0.31,-1.11,-0.69,-0.64,0.08,1.49,-1.37,-0.08,0.7,-0.97,0.62,-0.35,-0.51,-0.67,-0.24,-0.37,-0.2,0.12,-0.38,-0.25,-0.52,0.68,2
61,318171902,,Unspecified,,,,M-036201-00,643905,PRR21,1,H04,7159,2240.41,1.55193e+07,539.265,379.686,0.602813,1.50457,132.225,90.7628,0.622301,0.864651,177.25,4861.23,1650.25,8.02817e+06,406.384,312.099,0.604432,1.49948,109.218,75.3628,0.932354,0.79739,246.75,-1.69,2.5,0.45,1.2,-1.82,0.39,-0.38,-1.73,-1.77,-1.42,2.44,-1.89,0.76,-0.36,-0.16,-1.81,-0.22,0.82,-1.54,-2.05,0.56,0.05,2
62,313053904,,Unspecified,,,,M-006315-01,285,ANGPT2,2,D06,9811.06,1362.15,1.33217e+07,505.644,439.771,0.618681,1.45383,152.127,107.807,0.721455,0.821475,93.25,6547.29,1293.58,8.25901e+06,420.842,366.816,0.585091,1.50181,126.96,87.9297,0.927413,0.793432,171.75,-0.04,-0.5,-0.26,0.74,-0.16,1.23,-1.03,-0.2,0.42,-0.32,-0.01,0.85,-0.79,-0.42,-0.18,1.42,-1.69,1.2,1.57,0.97,0.67,-0.43,3
63,313053906,,Unspecified,,,,M-011572-00,336,APOA2,2,D07,11232.7,1176.39,1.25171e+07,403.437,480.294,0.586626,1.52975,165.781,113.779,0.871801,0.791692,92,6633.28,1186.93,7.48103e+06,403.193,366.791,0.595692,1.46769,125.299,89.1058,0.906185,0.796142,147.5,0.84,-1.14,-0.52,-0.65,0.96,-0.46,-0.05,0.85,1.19,1.35,-1.7,1.13,-1.04,-0.71,-0.2,1.31,-0.8,0.12,1.12,1.23,0.22,-0.03,3
64,313053914,,Unspecified,,,,M-008104-01,943,TNFRSF8,2,G09,9930.81,1254.79,1.22486e+07,316.739,459.341,0.569669,1.63752,162.229,102.845,0.799722,0.799768,100.75,6496.88,1201.07,7.94341e+06,327.111,356.43,0.604442,1.47613,123.038,86.5212,0.867348,0.783828,172,0.03,-0.87,-0.61,-1.84,0.38,-1.36,1.34,0.58,-0.21,0.55,-1.24,0.89,-0.99,-0.41,-1.22,0.72,-0.22,0.3,0.75,0.62,-0.28,-0.74,3
65,313053920,,Unspecified,,,,M-004679-03,1456,CSNK1G3,1,B08,10523,1059.16,1.01224e+07,333.45,453.731,0.615799,1.49848,157.491,107.904,0.827799,0.805302,94.5,6391.17,1293.12,8.33835e+06,355.356,352.15,0.624706,1.43628,121.5,87.2111,0.911633,0.789243,171.25,0.4,-1.54,-1.3,-1.61,0.22,1.08,-0.45,0.21,0.43,0.86,-0.93,0.71,-0.63,-0.16,-0.84,0.47,1.12,-0.57,0.49,0.78,0.29,-0.42,3
66,313053922,,Unspecified,,,,M-017689-00,1628,DBP,1,D02,9620.95,1345.14,1.26573e+07,437.731,431.271,0.624739,1.41162,145.799,107.926,0.755502,0.81861,117.75,6177.2,1317.67,8.10044e+06,446.066,349.257,0.61861,1.4274,119.584,86.7868,0.899404,0.791318,189.75,-0.16,-0.56,-0.48,-0.19,-0.39,1.55,-1.58,-0.68,0.44,0.06,-0.17,0.35,-0.53,-0.31,0.37,0.31,0.72,-0.76,0.17,0.68,0.13,-0.3,3
67,313053923,,Unspecified,,,,M-003655-02,1901,S1PR1,2,B07,12822.3,1480.48,1.88956e+07,444.342,540.374,0.531434,1.84009,194.456,110.003,0.728145,0.82028,65,7084.6,1171.95,8.20686e+06,333.352,386.44,0.572935,1.5914,135.4,88.6543,0.963056,0.766182,133.75,1.83,-0.1,1.53,-0.1,2.61,-3.38,3.96,3.05,0.7,-0.25,-0.08,1.89,-1.1,-0.25,-1.13,2.43,-2.32,2.83,2.79,1.12,0.95,-1.76,3
68,313053925,,Unspecified,,,,M-007895-02,2057,EPOR,1,D06,13144,1349.46,1.7269e+07,470.077,525.857,0.579194,1.59573,183.591,120.118,0.757137,0.811714,76.25,6740.15,1409.84,9.19227e+06,412.24,362.297,0.614974,1.44747,124.719,88.8412,0.957537,0.784502,160.25,2.03,-0.55,1.01,0.26,2.21,-0.85,0.8,2.21,2,0.08,-0.56,1.31,-0.18,0.38,-0.08,1.05,0.48,-0.32,1.02,1.17,0.88,-0.7,3
69,313053958,,Unspecified,,,,M-003934-00,7133,TNFRSF1B,2,C07,9858.83,1963.65,1.80903e+07,492.575,451.559,0.574825,1.59965,158.472,102.472,0.833803,0.803319,74.5,6882.52,1241.03,8.4781e+06,415.997,358.709,0.626828,1.44887,123.115,88.9739,0.909648,0.787273,111,-0.02,1.55,1.27,0.56,0.16,-1.09,0.85,0.29,-0.26,0.93,-1.04,1.55,-0.83,-0.08,-0.03,0.85,1.26,-0.29,0.76,1.2,0.26,-0.54,3
70,313053974,,Unspecified,,,,M-008954-01,9973,CCS,1,C07,9453.53,1563.82,1.26759e+07,497.871,447.585,0.565237,1.59019,155.238,101.811,0.767578,0.811525,109.25,5883.79,1208.41,7.20319e+06,346.397,344.651,0.602318,1.46409,118.122,83.5016,0.868399,0.791678,186,-0.27,0.19,-0.47,0.64,0.06,-1.59,0.73,0.04,-0.35,0.19,-0.57,-0.15,-0.96,-0.88,-0.96,0.05,-0.36,0.04,-0.07,-0.11,-0.27,-0.28,3
71,313053976,,Unspecified,,,,M-012217-01,10256,CNKSR1,1,C06,10759.5,1296.03,1.26947e+07,447.322,470.954,0.565568,1.59794,164.394,106.99,0.797714,0.812872,85.25,6322.06,1245.98,7.86909e+06,370.894,354.09,0.609601,1.46372,122.095,86.6347,0.901229,0.797376,170.75,0.54,-0.73,-0.47,-0.06,0.7,-1.58,0.83,0.74,0.32,0.53,-0.5,0.6,-0.81,-0.46,-0.63,0.59,0.12,0.03,0.59,0.64,0.15,0.05,3
72,313053977,,Unspecified,,,,M-020062-01,10376,TUBA1B,2,C06,9169.55,1379.31,1.23535e+07,416.883,422.837,0.618571,1.45598,145.817,103.383,0.782394,0.82156,97.75,6567.74,1197.21,7.60335e+06,345.418,353.778,0.623966,1.3779,119.51,89.1775,1.02976,0.778784,176.75,-0.44,-0.44,-0.58,-0.47,-0.63,1.23,-1,-0.68,-0.15,0.36,-0.01,0.59,-0.67,-0.43,-0.59,0.13,1.33,-2.08,-0.26,0.96,1.07,-0.46,3
73,313053989,,Unspecified,,,,M-012800-02,23563,CHST5,1,B06,12763.8,1045.42,1.19563e+07,359.686,500.552,0.597023,1.47266,169.693,118.103,0.742852,0.823325,65.5,6796.97,1204.28,8.11764e+06,356.235,370.402,0.597798,1.52011,128.283,88.4588,0.962214,0.779186,141.25,0.82,-1.74,-1.05,-1.46,0.7,0.94,-1.26,0.37,1.14,-0.3,0.04,1.4,-0.98,-0.3,-0.83,1.52,-0.66,1.27,1.61,1.08,0.94,-1.01,3
74,313054000,,Unspecified,,,,M-004395-01,29775,CARD10,2,D09,9765.38,1520.51,1.43998e+07,435.73,448.779,0.588434,1.56712,157.541,104.773,0.839285,0.813022,111.5,6366.97,1221.48,7.84576e+06,342.294,355.15,0.608804,1.4636,122.676,86.7509,0.930614,0.784042,159.25,-0.07,0.04,0.08,-0.21,0.09,-0.37,0.43,0.22,0.03,0.99,-0.49,0.67,-0.91,-0.48,-1.01,0.65,0.07,0.03,0.69,0.67,0.53,-0.73,3
75,313054001,,Unspecified,,,,M-004377-00,51374,C2orf28,2,E02,9330.68,1461.27,1.35661e+07,380.43,439.202,0.588613,1.49957,151.211,103.888,0.834654,0.796871,77.75,6784.51,1474.17,1.01663e+07,350.449,368.592,0.603183,1.45567,126.547,89.569,1.01845,0.763315,141,-0.34,-0.16,-0.18,-0.97,-0.18,-0.36,-0.44,-0.27,-0.08,0.94,-1.41,1.38,0.08,0.99,-0.91,1.41,-0.31,-0.14,1.33,1.34,1.67,-1.93,3
76,313054006,,Unspecified,,,,M-020574-00,54785,C17orf59,2,D11,13212.6,1337.91,1.72805e+07,484.512,543.381,0.558882,1.71141,193.506,116.215,0.677078,0.828009,59,6123.04,1137.73,6.90925e+06,331.06,347.548,0.611288,1.47434,119.788,83.7243,1.01058,0.776289,148,2.07,-0.59,1.01,0.45,2.7,-1.93,2.3,2.97,1.5,-0.81,0.36,0.55,-0.41,-0.15,-0.37,0.79,-0.69,0.68,0.87,0.44,0.21,-0.21,3
77,313054011,,Unspecified,,,,M-008694-01,56898,BDH2,1,A02,9800.12,1548.57,1.55278e+07,433.021,444.429,0.601082,1.49656,153.219,105.752,0.835899,0.802079,127.5,6080.82,1351.75,8.64918e+06,375.304,347.933,0.61285,1.42184,118.762,86.0314,0.924467,0.778387,215.75,-0.05,0.13,0.45,-0.25,-0.03,0.3,-0.48,-0.12,0.16,0.95,-1.11,0.19,-0.4,0.03,-0.57,0.23,0.34,-0.89,0.04,0.5,0.45,-1.05,3
78,313054013,,Unspecified,,,,M-021478-01,58498,MYL7,2,F07,8791.63,1285.57,1.09802e+07,345.173,424.255,0.59246,1.5435,147.792,99.1879,0.856853,0.798862,113.5,6298.29,1082.04,6.92071e+06,307.263,351.709,0.60718,1.43686,120.568,86.9833,0.856231,0.798046,178.5,-0.68,-0.76,-1.02,-1.45,-0.59,-0.15,0.13,-0.53,-0.68,1.18,-1.29,0.37,-1.62,-1.33,-1.51,0.3,-0.04,-0.62,0.17,0.64,-0.64,0.17,3
79,313054016,,Unspecified,,,,M-010067-01,64377,CHST8,1,B05,10936.4,1081.42,1.14838e+07,312.808,470.449,0.599429,1.47849,161.354,111.926,0.73253,0.813088,110.25,6152.6,1172.66,7.31268e+06,321.412,346.494,0.625989,1.39702,118.309,87.0872,0.941591,0.77594,199.75,0.65,-1.46,-0.86,-1.89,0.69,0.22,-0.71,0.51,0.95,-0.2,-0.49,0.31,-1.1,-0.81,-1.29,0.15,1.21,-1.43,-0.04,0.75,0.67,-1.2,3
80,313054019,,Unspecified,,,,M-019358-00,64757,MARC1,1,F08,7993.58,1371.11,1.05994e+07,381.706,403.604,0.593404,1.54162,141.033,95.0494,0.820608,0.809428,143.5,6034.89,1261,7.56051e+06,335.792,341.887,0.616233,1.42945,117.256,85.0236,0.936546,0.778822,197.5,-1.17,-0.47,-1.14,-0.95,-1.16,-0.1,0.1,-1.05,-1.22,0.78,-0.69,0.11,-0.75,-0.66,-1.1,-0.11,0.56,-0.72,-0.21,0.26,0.61,-1.03,3
81,313054023,,Unspecified,,,,M-014456-00,79864,C11orf63,1,C03,10516.9,1040.25,1.11263e+07,333.566,457.327,0.612332,1.45351,156.961,111.473,0.842527,0.796342,123,6055.51,1145.55,7.05008e+06,324.774,347.516,0.614866,1.4098,118.708,86.0517,0.982051,0.771494,223.25,0.39,-1.6,-0.97,-1.61,0.32,0.9,-1.03,0.17,0.89,1.02,-1.44,0.14,-1.2,-0.98,-1.25,0.21,0.47,-1.15,0.03,0.5,1.2,-1.45,3
82,313054041,,Unspecified,,,,M-017060-00,152185,SPICE1,2,B08,10748.9,1297.22,1.36688e+07,398.964,455.988,0.613748,1.49933,158.685,108.609,0.744958,0.816408,66.5,6285.77,1369.42,8.45727e+06,368.512,350.065,0.62243,1.40678,119.705,87.6108,0.937817,0.78892,121.25,0.54,-0.72,-0.15,-0.72,0.29,0.97,-0.44,0.3,0.53,-0.06,-0.3,0.54,-0.33,-0.09,-0.66,0.36,0.97,-1.22,0.19,0.88,0.63,-0.44,3
83,313054043,,Unspecified,,,,M-027202-01,154791,C7orf55,2,E03,11702.2,650.904,7.62491e+06,427.233,477.337,0.617729,1.4432,162.705,114.477,0.536794,0.847023,65,6578.35,818.648,5.4303e+06,355.309,365.396,0.602722,1.42824,124.225,90.2652,0.81186,0.805104,145.25,0.6,-2.43,-1.55,-0.09,0.62,0.21,-1.07,0.44,1.09,-2.37,1.63,1.03,-2.48,-2,-0.84,1.23,-0.34,-0.75,0.94,1.51,-1,0.49,3
84,313054044,,Unspecified,,,,M-015712-02,161497,STRC,2,B09,9946.79,1726.16,1.61605e+07,493.932,446.256,0.605822,1.47899,153.73,107.762,0.712089,0.831159,96.25,6334.64,1325.58,8.45101e+06,385.136,354.441,0.612483,1.43962,121.919,87.0898,0.9168,0.787254,177.25,0.04,0.74,0.65,0.58,0.02,0.55,-0.71,-0.08,0.42,-0.43,0.54,0.62,-0.5,-0.09,-0.44,0.61,0.31,-0.5,0.56,0.75,0.35,-0.54,3
85,313054045,,Unspecified,,,,M-009998-01,201163,FLCN,2,E06,12697.8,1422.14,1.76764e+07,418.124,527.704,0.553005,1.70352,187.264,113.809,0.822178,0.793682,64.25,6356.57,1250.54,7.78145e+06,348.627,360.042,0.592171,1.49066,124.712,86.6503,0.986772,0.774247,199,1.75,-0.3,1.14,-0.45,2.26,-2.24,2.2,2.5,1.19,0.8,-1.59,0.66,-0.8,-0.52,-0.93,0.93,-1.04,0.62,1.02,0.65,1.26,-1.29,3
86,313054046,,Unspecified,,,,M-016103-00,255252,LRRC57,2,F06,8840.3,1513,1.26351e+07,449.275,427.139,0.588414,1.57457,149.73,98.9419,0.750728,0.820099,138,6298.24,1173.62,7.22747e+06,346.725,349.136,0.620024,1.42176,119.102,86.2625,0.909467,0.788828,178.75,-0.65,0.01,-0.49,-0.03,-0.51,-0.37,0.53,-0.38,-0.72,0,-0.09,0.56,-1.09,-0.87,-0.96,0.3,0.81,-0.89,0.09,0.55,0.26,-0.45,3
87,313054051,,Unspecified,,,,M-027454-02,388698,FLG2,1,D10,12761.8,1086.83,1.35965e+07,293.708,523.481,0.567877,1.66835,184.711,114.705,0.762241,0.803299,61.25,7138.64,1064.02,7.52789e+06,289.733,378.684,0.606764,1.46282,130.485,92.0364,0.771139,0.794456,139.5,1.79,-1.44,-0.18,-2.15,2.15,-1.45,1.74,2.3,1.31,0.13,-1.04,1.98,-1.52,-0.68,-1.72,1.99,-0.07,0.01,1.98,1.93,-1.53,-0.12,3
88,313053903,,Unspecified,,,,M-008205-00,53,ACP2,2,D05,11538,1456.7,1.63053e+07,422.677,505.485,0.545931,1.80766,183.811,105.203,0.771822,0.809168,77.25,6144.4,1201.19,7.33714e+06,373.475,352.121,0.597337,1.49421,121.974,85.0106,1.00886,0.772567,195.75,1.03,-0.18,0.7,-0.39,1.65,-2.61,3.54,2.23,0.09,0.24,-0.71,0.3,-0.99,-0.8,-0.6,0.47,-0.69,0.7,0.57,0.26,1.54,-1.39,4
89,313053912,,Unspecified,,,,M-016674-00,805,CALM2,1,B04,10896.5,1205.55,1.35274e+07,353.163,471.435,0.604233,1.49077,162.113,112.097,0.772099,0.816704,121.5,5570.13,1290.83,7.3036e+06,373.626,334.945,0.606859,1.43009,114.655,82.4999,0.903025,0.789172,253.5,0.63,-1.04,-0.2,-1.34,0.71,0.47,-0.55,0.57,0.97,0.24,-0.28,-0.68,-0.64,-0.82,-0.6,-0.51,-0.06,-0.7,-0.64,-0.34,0.18,-0.43,4
