PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,REAGENT_ID,ENTREZ_GENE_ID,NCBI_GENE_SYMBOL,PLATE,WELL,MIGRATION_AVERAGE_NORMALISED_TO_MOCK_HMBEC,MIGRATION_AVERAGE_NORMALISED_TO_MOCK_HDLEC,AVERAGE_CELL_COUNT_HMBEC,AVERAGE_CELL_COUNT_HDLEC,MIGRATION_BIN_HMBEC,MIGRATION_BIN_HDLEC,AVERAGE_CELL_COUNT_BIN_HMBEC,AVERAGE_CELL_COUNT_BIN_HDLEC,DOMINANT_CELL_ACTIVITY_BIN,EXCLUDED_WELL_FLAG_SUMMARY,REPLICATE_A_WELL_EXCLUDED,REPLICATE_B_WELL_EXCLUDED
RESULT_TYPE,,,,,,,STRING,TARGET_NCBI_GENE_ID,STRING,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
RESULT_DESCR,,,,,,,Dharmacon GE reagent id,NCBI Entrez Gene database id of intended siRNA target gene,Official symbol of target NCBI Gene Id,Plate number,Well location,Migration data for each replicate normalised to Mock then averaged the normalised values across the 2 replicates.,Migration data for each replicate normalised to Mock then averaged the normalised values across the 2 replicates.,Cell count data for each replicate then averaged the values across the 2 replicates.,Cell count data for each replicate then averaged the values across the 2 replicates.,Migration binning classification: IMPAIRED (low migration score): value < 0.65 NC (no change): value > 0.65,Migration binning classification: IMPAIRED (low migration score): value < 0.65 NC (no change): value > 0.65,Cell count binning classification: LOW_CELL_COUNT (low cell number): value < 2500 NC (no change): value > 2500,Cell count binning classification: LOW_CELL_COUNT (low cell number): value < 3300 NC (no change): value > 3300,Dominant cell type migration binning classification: BEC_DOMINANT : if IMPAIRED in MIGRATION_BIN_HMBEC but NOT in MIGRATION_BIN_HDLEC LEC_DOMINANT : if IMPAIRED in MIGRATION_BIN_HDLEC but NOT in MIGRATION_BIN_HMBEC COMMON : if IMPAIRED in MIGRATION_BIN_HDLEC AND in MIGRATION_BIN_HMBEC NC (no change) : if NC in both cell types.,Wells are flagged with ONE REP when one of the two replicate wells were excluded,,
20,313053769,,Active,,,,M-004790-02,1543,CYP1A1,1,C11,0.59454,0.370011,3656.5,6147,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
21,313053770,,Active,,,,M-017689-00,1628,DBP,1,D02,0.567459,0.431544,3694,5499.75,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
22,313053771,,Active,,,,M-003655-02,1901,S1PR1,2,B07,0.36693,0.497469,2807.5,4909.75,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
23,313053772,,Active,,,,M-019190-02,1944,EFNA3,1,D05,0.648649,0.822717,4611.5,6711.25,IMPAIRED,NC,NC,NC,BEC_DOMINANT,,,
24,313053773,,Active,,,,M-007895-02,2057,EPOR,1,D06,0.548203,0.591981,2967,5250.25,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
25,313053774,,Inactive,,,,M-003137-02,2322,FLT3,1,D11,0.804057,0.947639,3877.75,5695.25,NC,NC,NC,NC,NC,,,
26,313053775,,Inactive,,,,M-006366-02,2629,GBA,1,E03,0.763094,0.720898,4616.5,6446.5,NC,NC,NC,NC,NC,,,
27,313053776,,Active,,,,M-005511-02,2642,GCGR,2,E09,0.335387,0.368003,2834.25,5071.25,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
28,313053777,,Inactive,,,,M-010819-01,2645,GCK,1,E02,0.943523,0.765384,5282,6985,NC,NC,NC,NC,NC,,,
29,313053778,,Active,,,,M-010825-02,2778,GNAS,2,E10,0.492982,0.176698,3061,4565,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
30,313053779,,Active,,,,M-013381-00,3222,HOXC5,2,F02,0.318551,-0.16449,3029,4059.25,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
31,313053780,,Active,,,,M-007953-01,3553,IL1B,2,F04,0.474698,0.554335,3045.75,5989.5,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
32,313053781,,Active,,,,M-006742-02,3706,ITPKA,1,E05,0.737778,0.492852,4764,6256.75,NC,IMPAIRED,NC,NC,LEC_DOMINANT,,,
33,313053782,,Active,,,,M-003268-03,3725,JUN,1,E07,0.450673,0.632224,3358.25,5238.75,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
34,313053783,,Active,,,,M-006272-03,3785,KCNQ2,1,H03,0.460844,0.750664,4037.5,5778.5,IMPAIRED,NC,NC,NC,BEC_DOMINANT,,,
35,313053784,,Active,,,,M-011718-01,3956,LGALS1,1,E10,0.450633,0.250428,2759.25,4287.25,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
36,313053785,,Active,,,,M-007730-02,3984,LIMK1,1,E11,0.743213,0.62029,4563.5,6233.5,NC,IMPAIRED,NC,NC,LEC_DOMINANT,,,
37,313053786,,Active,,,,M-008970-01,4023,LPL,1,F03,0.87778,0.594848,4227.5,6017,NC,IMPAIRED,NC,NC,LEC_DOMINANT,,,
38,313053787,,Inactive,,,,M-010612-02,4356,MPP3,1,F05,0.746628,0.82027,3319.75,4895.75,NC,NC,NC,NC,NC,,,
39,313053788,,Active,,,,M-012693-01,4701,NDUFA7,1,F10,0.651495,0.630327,4133,5939.5,NC,IMPAIRED,NC,NC,LEC_DOMINANT,,,
40,313053789,,Active,,,,M-009584-02,4776,NFATC4,2,F08,0.637279,0.369696,4386,5755.25,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
41,313053790,,Active,,,,M-003163-03,5159,PDGFRB,2,F11,0.621414,0.533526,3016.5,5019.25,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
42,313053791,,Inactive,,,,M-006776-04,5297,PI4KA,1,G07,0.93837,0.792506,5309.75,6373,NC,NC,NC,NC,NC,,,
43,313053792,,Active,,,,M-006777-03,5298,PI4KB,2,F10,0.552795,0.405086,3572,5331.5,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
44,313053793,,Active,,,,M-003559-01,5335,PLCG1,1,G10,0.547414,0.590013,3564.25,5929.5,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
45,313053794,,Active,,,,M-011886-00,5414,SEPT4,2,A06,0.265903,0.0188703,2570.25,4639.25,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
46,313053795,,Active,,,,M-008927-01,5499,PPP1CA,1,H07,0.774061,0.622764,4177.25,5571.75,NC,IMPAIRED,NC,NC,LEC_DOMINANT,,,
47,313053796,,Active,,,,M-004612-03,5586,PKN2,2,G03,0.580943,0.730302,3478.25,5688,IMPAIRED,NC,NC,NC,BEC_DOMINANT,,,
48,313053797,,Inactive,,,,M-004659-00,5593,PRKG2,1,H06,0.70126,0.783118,4136.75,6057.5,NC,NC,NC,NC,NC,,,
49,313053798,,Active,,,,M-006018-02,5664,PSEN2,2,G02,0.569146,0.503919,3476.75,4771.5,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
50,313053799,,Active,,,,M-006832-01,5885,RAD21,1,H09,0.795454,0.581725,3473.25,5823,NC,IMPAIRED,NC,NC,LEC_DOMINANT,,,
51,313053800,,Inactive,,,,M-003170-02,5979,RET,1,H11,0.937328,0.786795,4314.75,5779.75,NC,NC,NC,NC,NC,,,
52,313053801,,Inactive,,,,M-015055-01,6242,RTKN,2,A02,0.681199,0.694331,3731.25,5809.5,NC,NC,NC,NC,NC,,,
53,313053802,,Active,,,,M-020909-00,6324,SCN1B,2,B05,0.690993,0.578413,3186.5,4371.75,NC,IMPAIRED,NC,NC,LEC_DOMINANT,,,
54,313053803,,Active,,,,M-011774-01,6404,SELPLG,2,A05,0.225841,0.556493,3239.5,4976.75,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
55,313053804,,Active,,,,M-005376-00,6725,SRMS,2,G08,0.643334,0.784564,3282,5575.75,IMPAIRED,NC,NC,NC,BEC_DOMINANT,,,
